Dates,SX5E Index,DAX Index,UKX Index,SMI Index,SPX Index,CCMP Index,NDX Index,NKY Index,HSI Index,MXEF Index,MXWO Index,MXWD Index,USDR1T Curncy,EUDR1T Curncy,SFDR1T Curncy,BPDR1T Curncy,JYDR1T Curncy,SPI Index,NDUEAWXZ Index,VICASCI SW Equity,VICAAI1 SW Equity,STXAAIGV Index,CSRPAIS Index,SX5T Index,TUKXG Index,SMIC Index,SPXT Index,NDUEEGF Index,NDDUWI Index
1988-07-01,769.63,1163.52,1858.2,1507.5,271.78,394.69,189.96,27503.53,2684.64,134.25,443.84,109.0,,,,,,874.29,,,,,,701.88,522.43,,276.86,,746.387
1988-07-02,769.63,1163.52,1858.2,1507.5,271.78,394.69,189.96,27503.53,2684.64,134.25,443.84,109.0,,,,,,874.29,,,,,,701.88,522.43,,276.86,,746.387
1988-07-03,769.63,1163.52,1858.2,1507.5,271.78,394.69,189.96,27503.53,2684.64,134.25,443.84,109.0,,,,,,874.29,,,,,,701.88,522.43,,276.86,,746.387
1988-07-04,771.49,1168.15,1848.0,1516.2,271.78,394.69,189.96,27360.39,2687.62,134.06,440.14,108.1,,,,,,876.56,,,,,,705.04,519.9,,276.86,,746.387
1988-07-05,775.35,1178.52,1854.8,1529.0,275.81,396.11,191.91,27577.17,2681.91,133.46,445.84,109.49,,,,,,882.3,,,,,,708.57,521.93,,281.05,,746.387
1988-07-06,787.97,1199.96,1870.0,1549.7,272.02,395.45,190.43,27766.6,2737.51,133.28,448.1,110.04,,,,,,890.36,,,,,,720.25,526.11,,277.19,,746.387
1988-07-07,783.36,1188.59,1855.5,1542.6,271.78,395.43,189.38,27728.13,2759.63,132.72,451.08,110.77,,,,,,887.12,,,,,,716.22,521.97,,276.95,,746.387
1988-07-08,783.07,1197.52,1877.2,1553.7,270.02,394.33,188.15,27917.08,2752.9,132.32,451.13,110.78,,,,,,893.07,,,,,,716.66,528.27,,275.15,,746.387
1988-07-09,783.07,1197.52,1877.2,1553.7,270.02,394.33,188.15,27917.08,2752.9,132.32,451.13,110.78,,,,,,893.07,,,,,,716.66,528.27,,275.15,,746.387
1988-07-10,783.07,1197.52,1877.2,1553.7,270.02,394.33,188.15,27917.08,2752.9,132.32,451.13,110.78,,,,,,893.07,,,,,,716.66,528.27,,275.15,,746.387
1988-07-11,780.72,1196.59,1876.8,1555.7,270.55,394.15,187.69,27985.99,2759.59,132.12,449.92,110.49,,,,,,895.6,,,,,,715.41,528.19,,275.72,,746.387
1988-07-12,771.99,1184.85,1858.5,1541.6,267.85,393.52,187.24,28099.84,2772.53,132.03,448.77,110.2,,,,,,890.07,,,,,,707.41,522.92,,272.98,,746.387
1988-07-13,766.99,1172.8,1871.3,1532.1,269.32,393.56,188.12,28020.1,2744.85,132.22,447.56,109.91,,,,,,885.22,,,,,,702.83,526.54,,274.48,,746.387
1988-07-14,770.82,1187.21,1863.3,1531.6,270.26,394.67,188.68,28084.08,2752.96,131.75,448.62,110.17,,,,,,886.07,,,,,,706.33,524.3,,275.47,,746.387
1988-07-15,774.77,1191.13,1861.5,1536.4,272.05,394.59,188.51,27913.79,2740.7,130.9,444.58,109.18,,,,,,887.0,,,,,,710.2,523.8,,277.29,,746.387
1988-07-16,774.77,1191.13,1861.5,1536.4,272.05,394.59,188.51,27913.79,2740.7,130.9,444.58,109.18,,,,,,887.0,,,,,,710.2,523.8,,277.29,,746.387
1988-07-17,774.77,1191.13,1861.5,1536.4,272.05,394.59,188.51,27913.79,2740.7,130.9,444.58,109.18,,,,,,887.0,,,,,,710.2,523.8,,277.29,,746.387
1988-07-18,772.11,1179.74,1849.3,1543.2,270.51,394.77,188.79,27662.12,2711.37,130.01,441.43,108.4,,,,,,891.78,,,,,,708.86,521.49,,275.74,,746.387
1988-07-19,767.36,1170.1,1844.8,1528.9,268.47,391.28,185.78,27149.03,2677.8,129.52,439.01,107.8,,,,,,884.12,,,,,,704.5,520.25,,273.67,,746.387
1988-07-20,771.81,1174.62,1867.2,1534.0,270.0,391.63,185.25,27553.98,2697.54,129.17,445.71,109.43,,,,,,887.39,,,,,,708.58,526.39,,275.23,,746.387
1988-07-21,772.11,1165.42,1864.4,1536.8,266.66,388.86,182.41,27676.14,2687.37,129.79,447.22,109.79,,,,,,889.89,,,,,,708.86,525.65,,271.83,,746.387
1988-07-22,765.79,1153.77,1844.8,1523.9,263.5,387.35,181.86,27285.01,2661.77,130.41,445.31,109.32,,,,,,884.09,,,,,,703.05,520.37,,268.61,,746.387
1988-07-23,765.79,1153.77,1844.8,1523.9,263.5,387.35,181.86,27285.01,2661.77,130.41,445.31,109.32,,,,,,884.09,,,,,,703.05,520.37,,268.61,,746.387
1988-07-24,765.79,1153.77,1844.8,1523.9,263.5,387.35,181.86,27285.01,2661.77,130.41,445.31,109.32,,,,,,884.09,,,,,,703.05,520.37,,268.61,,746.387
1988-07-25,765.03,1160.46,1838.5,1514.8,264.68,387.12,181.59,27183.53,2647.41,129.18,444.19,109.04,,,,,,879.73,,,,,,702.36,518.31,,269.88,,746.387
1988-07-26,772.58,1176.46,1837.7,1511.8,265.19,385.79,179.71,27303.76,2655.62,127.72,444.22,109.05,,,,,,876.71,,,,,,709.28,518.31,,270.45,,746.387
1988-07-27,775.46,1171.28,1840.8,1514.5,262.5,383.32,177.37,27738.57,2665.23,128.41,447.79,109.93,,,,,,878.07,,,,,,711.92,518.98,,267.76,,746.387
1988-07-28,771.12,1166.0,1841.3,1505.8,266.02,384.08,178.22,27796.09,2663.45,129.31,449.27,110.3,,,,,,878.86,,,,,,707.95,519.21,,271.35,,746.387
1988-07-29,780.03,1181.72,1853.6,1512.0,272.02,387.33,181.16,27911.63,2678.92,129.92,454.48,111.59,,,,,,884.69,,,,,,716.13,522.74,,277.49,,760.221
1988-07-30,780.03,1181.72,1853.6,1512.0,272.02,387.33,181.16,27911.63,2678.92,129.92,454.48,111.59,,,,,,884.69,,,,,,716.13,522.74,,277.49,,760.221
1988-07-31,780.03,1181.72,1853.6,1512.0,272.02,387.33,181.16,27911.63,2678.92,129.92,454.48,111.59,,,,,,884.69,,,,,,716.13,522.74,,277.49,,760.221
1988-08-01,786.65,1189.6,1862.2,1512.0,272.21,388.0,181.44,28326.31,2703.42,130.01,457.23,112.27,,,,,,884.69,,,,,,722.2,526.67,,277.76,,760.221
1988-08-02,786.91,1184.21,1855.5,1518.6,272.06,387.8,180.53,28366.33,2701.09,129.34,457.19,112.25,,,,,,889.43,,,,,,722.44,524.82,,277.71,,760.221
1988-08-03,785.35,1187.67,1865.1,1522.7,272.98,388.52,181.07,28348.45,2692.63,128.68,456.31,112.02,,,,,,894.04,,,,,,721.01,527.69,,278.68,,760.221
1988-08-04,784.49,1183.72,1869.7,1538.5,271.93,388.86,181.18,28292.66,2677.37,128.88,454.5,111.57,,,,,,900.87,,,,,,720.22,528.96,,277.81,,760.221
1988-08-05,790.72,1197.38,1875.9,1560.7,271.15,387.71,179.9,28423.38,2671.17,128.95,452.6,111.11,,,,,,908.79,,,,,,725.94,530.84,,277.07,,760.221
1988-08-06,790.72,1197.38,1875.9,1560.7,271.15,387.71,179.9,28423.38,2671.17,128.95,452.6,111.11,,,,,,908.79,,,,,,725.94,530.84,,277.07,,760.221
1988-08-07,790.72,1197.38,1875.9,1560.7,271.15,387.71,179.9,28423.38,2671.17,128.95,452.6,111.11,,,,,,908.79,,,,,,725.94,530.84,,277.07,,760.221
1988-08-08,786.05,1198.76,1876.0,1564.3,269.98,387.66,179.81,28253.12,2659.1,128.9,451.46,110.83,,,,,,909.79,,,,,,721.65,530.76,,275.96,,760.221
1988-08-09,788.65,1196.79,1862.6,1562.3,266.49,384.23,177.27,28170.36,2634.04,128.74,446.9,109.73,,,,,,907.59,,,,,,724.03,526.87,,272.57,,760.221
1988-08-10,774.91,1173.45,1839.9,1546.6,261.9,378.51,172.68,27554.87,2579.38,128.78,438.09,107.58,,,,,,900.61,,,,,,711.43,520.81,,267.89,,760.221
1988-08-11,766.11,1168.14,1835.2,1523.7,262.75,379.11,174.63,27784.98,2595.28,128.58,441.37,108.39,,,,,,888.32,,,,,,703.35,519.13,,268.79,,760.221
1988-08-12,773.27,1173.56,1843.4,1525.2,262.55,378.95,173.75,27833.51,2600.93,129.27,443.37,108.87,,,,,,891.28,,,,,,709.92,521.42,,268.6,,760.221
1988-08-13,773.27,1173.56,1843.4,1525.2,262.55,378.95,173.75,27833.51,2600.93,129.27,443.37,108.87,,,,,,891.28,,,,,,709.92,521.42,,268.6,,760.221
1988-08-14,773.27,1173.56,1843.4,1525.2,262.55,378.95,173.75,27833.51,2600.93,129.27,443.37,108.87,,,,,,891.28,,,,,,709.92,521.42,,268.6,,760.221
1988-08-15,770.05,1169.82,1816.8,1510.8,258.69,374.07,170.09,27901.29,2600.63,129.43,440.47,108.17,,,,,,886.13,,,,,,706.96,515.87,,264.77,,760.221
1988-08-16,766.83,1158.76,1825.3,1492.2,260.56,375.66,172.65,27896.55,2589.36,128.23,442.88,108.75,,,,,,878.27,,,,,,704.0,518.31,,266.73,,760.221
1988-08-17,775.41,1182.18,1830.9,1517.5,260.77,376.22,172.91,28178.86,2594.66,128.86,442.73,108.73,,,,,,891.95,,,,,,711.89,519.89,,266.95,,760.221
1988-08-18,777.71,1173.93,1833.9,1505.8,261.03,377.22,173.55,28129.36,2571.41,128.89,442.63,108.71,,,,,,891.47,,,,,,713.99,520.89,,267.24,,760.221
1988-08-19,774.53,1170.78,1844.3,1509.0,260.24,377.42,172.81,28209.42,2579.75,128.34,443.33,108.88,,,,,,896.89,,,,,,711.08,523.82,,266.45,,760.221
1988-08-20,774.53,1170.78,1844.3,1509.0,260.24,377.42,172.81,28209.42,2579.75,128.34,443.33,108.88,,,,,,896.89,,,,,,711.08,523.82,,266.45,,760.221
1988-08-21,774.53,1170.78,1844.3,1509.0,260.24,377.42,172.81,28209.42,2579.75,128.34,443.33,108.88,,,,,,896.89,,,,,,711.08,523.82,,266.45,,760.221
1988-08-22,773.6,1167.99,1832.3,1515.1,256.98,373.73,169.9,28079.18,2564.14,127.39,438.65,107.72,,,,,,900.67,,,,,,710.22,520.45,,263.18,,760.221
1988-08-23,767.15,1155.97,1817.9,1499.2,257.09,373.53,169.6,27919.95,2532.13,126.57,437.48,107.43,,,,,,893.88,,,,,,704.48,516.36,,263.3,,760.221
1988-08-24,769.97,1161.27,1819.2,1495.4,261.13,376.03,171.96,27799.67,2520.29,127.6,437.61,107.47,,,,,,894.64,,,,,,707.07,516.76,,267.44,,760.221
1988-08-25,762.04,1162.65,1780.2,1487.4,259.18,374.04,170.53,27870.44,2520.86,127.58,437.8,107.5,,,,,,894.16,,,,,,699.79,505.64,,265.46,,760.221
1988-08-26,760.86,1157.65,1770.7,1491.7,259.68,374.43,170.98,27565.41,2464.83,127.67,435.3,106.89,,,,,,894.55,,,,,,698.91,502.95,,266.04,,760.221
1988-08-27,760.86,1157.65,1770.7,1491.7,259.68,374.43,170.98,27565.41,2464.83,127.67,435.3,106.89,,,,,,894.55,,,,,,698.91,502.95,,266.04,,760.221
1988-08-28,760.86,1157.65,1770.7,1491.7,259.68,374.43,170.98,27565.41,2464.83,127.67,435.3,106.89,,,,,,894.55,,,,,,698.91,502.95,,266.04,,760.221
1988-08-29,757.41,1152.38,1770.7,1478.4,262.33,376.21,172.76,27379.1,2464.83,126.39,433.59,106.48,,,,,,888.16,,,,,,695.75,502.95,,268.86,,760.221
1988-08-30,759.76,1165.53,1754.8,1484.0,262.51,376.49,172.37,27511.65,2439.55,125.92,433.77,106.51,,,,,,888.66,,,,,,697.9,498.43,,269.08,,760.221
1988-08-31,761.63,1165.36,1753.6,1479.1,261.52,376.55,171.0,27365.95,2443.8,125.92,428.75,105.28,,,,,,885.5,,,,,,699.62,498.08,,268.07,,718.253
1988-09-01,757.92,1152.99,1730.5,1467.4,258.35,372.96,168.22,26934.26,2433.32,125.63,422.69,103.79,,,,,,877.96,,,,,,696.21,491.53,,264.85,,718.253
1988-09-02,755.5,1157.29,1746.9,1463.4,264.48,376.51,171.47,27116.5,2449.89,126.41,427.08,104.87,,,,,,877.29,,,,,,693.99,496.2,,271.19,,718.253
1988-09-03,755.5,1157.29,1746.9,1463.4,264.48,376.51,171.47,27116.5,2449.89,126.41,427.08,104.87,,,,,,877.29,,,,,,693.99,496.2,,271.19,,718.253
1988-09-04,755.5,1157.29,1746.9,1463.4,264.48,376.51,171.47,27116.5,2449.89,126.41,427.08,104.87,,,,,,877.29,,,,,,693.99,496.2,,271.19,,718.253
1988-09-05,762.97,1174.87,1764.5,1475.9,264.48,376.51,171.47,27341.58,2508.19,127.67,430.99,105.84,,,,,,884.1,,,,,,700.85,501.71,,271.19,,718.253
