Dates,Europe,Germany,UK,Switzerland,US,NASDAQ,Japan,HongKong,EmergingMarkets,World
2019-01-01,3001.42,10558.96,6728.13,8429.3,2506.85,6329.964,20014.77,25845.7,965.93,1883.93
2019-01-02,2993.18,10580.19,6734.23,8429.3,2510.03,6360.869000000002,20014.77,25130.35,955.66,1881.15
2019-01-03,2954.66,10416.66,6692.66,8466.01,2447.89,6147.1269999999995,20014.77,25064.36,949.57,1853.18
2019-01-04,3041.85,10767.69,6837.42,8608.56,2531.94,6422.674,19561.96,25626.03,964.97,1904.18
2019-01-05,3041.85,10767.69,6837.42,8608.56,2531.94,6422.674,19561.96,25626.03,964.97,1904.18
2019-01-06,3041.85,10767.69,6837.42,8608.56,2531.94,6422.674,19561.96,25626.03,964.97,1904.18
2019-01-07,3033.64,10747.81,6810.88,8535.95,2549.69,6488.253000000002,20038.97,25835.7,977.96,1919.75
2019-01-08,3054.94,10803.98,6861.6,8629.48,2574.41,6551.847,20204.04,25875.45,975.51,1935.79
2019-01-09,3070.24,10893.32,6906.63,8687.71,2584.96,6600.694,20427.06,26462.32,994.41,1950.98
2019-01-10,3075.73,10921.59,6942.87,8801.48,2596.64,6620.941999999999,20163.8,26521.43,998.67,1957.69
2019-01-11,3070.04,10887.46,6918.18,8828.22,2596.26,6601.396,20359.7,26667.27,1001.11,1957.17
2019-01-12,3070.04,10887.46,6918.18,8828.22,2596.26,6601.396,20359.7,26667.27,1001.11,1957.17
2019-01-13,3070.04,10887.46,6918.18,8828.22,2596.26,6601.396,20359.7,26667.27,1001.11,1957.17
2019-01-14,3055.18,10855.91,6855.02,8760.32,2582.61,6541.038000000001,20359.7,26298.33,992.71,1948.16
2019-01-15,3068.05,10891.79,6895.02,8824.73,2610.3,6669.638000000001,20555.29,26830.29,1005.11,1963.61
2019-01-16,3077.22,10931.24,6862.68,8873.77,2616.1,6668.562,20442.75,26902.1,1009.39,1966.5
2019-01-17,3069.35,10918.62,6834.92,8914.14,2635.96,6718.453,20402.27,26755.63,1008.99,1975.61
2019-01-18,3134.92,11205.54,6968.33,9023.96,2670.71,6784.608,20666.07,27090.81,1018.0,2000.76
2019-01-19,3134.92,11205.54,6968.33,9023.96,2670.71,6784.608,20666.07,27090.81,1018.0,2000.76
2019-01-20,3134.92,11205.54,6968.33,9023.96,2670.71,6784.608,20666.07,27090.81,1018.0,2000.76
2019-01-21,3125.07,11136.2,6970.59,9011.41,2670.71,6784.608,20719.33,27196.54,1018.45,2000.77
2019-01-22,3112.8,11090.11,6901.39,8966.34,2632.9,6646.813,20622.91,27005.45,1010.63,1978.83
2019-01-23,3112.13,11071.54,6842.88,8957.19,2638.7,6658.763000000001,20593.72,27008.2,1011.56,1980.14
2019-01-24,3126.31,11130.18,6818.95,8937.39,2642.33,6702.547,20574.63,27120.98,1019.44,1983.23
2019-01-25,3163.24,11281.79,6809.22,8922.49,2664.76,6787.3719999999985,20773.56,27569.19,1032.34,2001.86
2019-01-26,3163.24,11281.79,6809.22,8922.49,2664.76,6787.3719999999985,20773.56,27569.19,1032.34,2001.86
2019-01-27,3163.24,11281.79,6809.22,8922.49,2664.76,6787.3719999999985,20773.56,27569.19,1032.34,2001.86
2019-01-28,3137.27,11210.31,6747.1,8857.85,2643.85,6697.0869999999995,20649.0,27576.96,1028.06,1989.18
2019-01-29,3153.42,11218.83,6833.93,8940.52,2640.0,6632.7919999999995,20664.64,27531.68,1029.75,1989.6
2019-01-30,3161.74,11181.66,6941.63,8965.71,2681.05,6807.909000000002,20556.54,27642.85,1036.63,2010.95
2019-01-31,3159.43,11173.1,6968.85,8969.27,2704.1,6906.839,20773.49,27942.47,1049.93,2028.49
2019-02-01,3171.12,11180.66,7020.22,8996.36,2706.53,6875.518,20788.39,27930.74,1050.2,2029.55
2019-02-02,3171.12,11180.66,7020.22,8996.36,2706.53,6875.518,20788.39,27930.74,1050.2,2029.55
2019-02-03,3171.12,11180.66,7020.22,8996.36,2706.53,6875.518,20788.39,27930.74,1050.2,2029.55
2019-02-04,3165.2,11176.58,7034.13,9011.48,2724.87,6959.9569999999985,20883.77,27990.21,1048.05,2037.76
2019-02-05,3215.04,11367.98,7177.37,9150.56,2737.7,7023.521,20844.45,27990.21,1051.9,2051.36
2019-02-06,3212.75,11324.72,7173.09,9143.0,2731.61,6997.6219999999985,20874.06,27990.21,1048.46,2047.11
2019-02-07,3150.76,11022.02,7093.58,9035.9,2706.05,6904.98,20751.28,27990.21,1041.97,2026.94
2019-02-08,3135.62,10906.78,7071.18,9003.41,2707.88,6913.13,20333.17,27946.32,1036.03,2020.53
2019-02-09,3135.62,10906.78,7071.18,9003.41,2707.88,6913.13,20333.17,27946.32,1036.03,2020.53
2019-02-10,3135.62,10906.78,7071.18,9003.41,2707.88,6913.13,20333.17,27946.32,1036.03,2020.53
2019-02-11,3165.61,11014.59,7129.11,9068.62,2709.8,6909.185,20333.17,28143.84,1035.41,2021.6
2019-02-12,3190.75,11126.08,7133.14,9127.4,2744.73,7014.669,20864.21,28171.33,1042.13,2045.12
2019-02-13,3202.37,11167.22,7190.84,9164.06,2753.03,7015.876,21144.48,28497.59,1041.84,2052.76
2019-02-14,3182.66,11089.79,7197.01,9142.71,2745.73,7022.419,21139.71,28432.05,1039.19,2047.56
2019-02-15,3241.25,11299.8,7236.68,9242.12,2775.6,7055.179,20900.63,27900.84,1030.64,2066.59
2019-02-16,3241.25,11299.8,7236.68,9242.12,2775.6,7055.179,20900.63,27900.84,1030.64,2066.59
2019-02-17,3241.25,11299.8,7236.68,9242.12,2775.6,7055.179,20900.63,27900.84,1030.64,2066.59
2019-02-18,3244.79,11299.2,7219.47,9267.46,2775.6,7055.179,21281.85,28347.01,1036.73,2072.62
2019-02-19,3239.41,11309.21,7179.17,9256.17,2779.76,7066.611999999999,21302.65,28228.13,1036.97,2075.91
2019-02-20,3259.49,11401.97,7228.62,9315.63,2784.7,7062.3380000000025,21431.49,28514.05,1049.32,2083.64
2019-02-21,3263.7,11423.28,7167.39,9333.57,2774.88,7035.1640000000025,21464.23,28629.92,1050.99,2077.44
2019-02-22,3270.55,11457.7,7178.6,9348.93,2792.67,7090.625,21425.51,28816.3,1058.65,2086.97
2019-02-23,3270.55,11457.7,7178.6,9348.93,2792.67,7090.625,21425.51,28816.3,1058.65,2086.97
2019-02-24,3270.55,11457.7,7178.6,9348.93,2792.67,7090.625,21425.51,28816.3,1058.65,2086.97
2019-02-25,3280.01,11505.39,7183.74,9398.37,2796.11,7115.426,21528.23,28959.3,1067.64,2091.83
